,table1,col1,table2,col2,sim_score
0,Yang2017-01,Vandalism,Daxenberger2012-09,Vandalism,1.0
1,Yang2017-01,Disambiguation,Jones2008-13,Disambiguation,1.0
2,Yang2017-01,Elaboration,Guo2022-16,Elaboration,1.0
3,Anthonio2020-03,Spelling/Grammar,Daxenberger2012-09,Spelling/Grammar,1.0
4,Anthonio2020-03,Paraphrase,Daxenberger2012-09,Paraphrase,1.0
5,Falting2021-04,Vandalism,Pfeil2006-12,Vandalism,1.0
6,Zhang2015-06,Organization,Zhang2016-11,Organization,1.0
7,Zhang2015-06,Claim/Ideas,Zhang2016-11,Claim/Ideas,1.0
8,Zhang2015-06,Warrant/Reasoning/Backing,Zhang2016-11,Warrant/Reasoning/Backing,1.0
9,Zhang2015-06,General Content,Zhang2016-11,General Content,1.0
10,Zhang2015-06,Evidence,Zhang2016-11,Evidence,1.0
11,Du2022-07,Clarity,Zhang2016-11,Clarity,1.0
12,Yang2016-08,Relocation,Daxenberger2012-09,Relocation,1.0
13,Yang2016-08,Markup-Inserion,Daxenberger2012-09,Markup-Inserion,1.0
14,Yang2016-08,Markup-Deletion,Daxenberger2012-09,Markup-Deletion,1.0
15,Yang2016-08,Markup-Modification,Daxenberger2012-09,Markup-Modification,1.0
16,Yang2016-08,Information-Insertion,Daxenberger2012-09,Information-Insertion,1.0
17,Yang2016-08,Information-Deletion,Daxenberger2012-09,Information-Deletion,1.0
18,Yang2016-08,Information-Modification,Daxenberger2012-09,Information-Modification,1.0
19,Yang2016-08,File-Insertion,Daxenberger2012-09,File-Insertion,1.0
20,Yang2016-08,File-Deletion,Daxenberger2012-09,File-Deletion,1.0
21,Yang2016-08,File-Modification,Daxenberger2012-09,File-Modification,1.0
22,Yang2016-08,Reference-Insertion,Daxenberger2012-09,Reference-Insertion,1.0
23,Yang2016-08,Reference-Deletion,Daxenberger2012-09,Reference-Deletion,1.0
24,Yang2016-08,Reference-Modification,Daxenberger2012-09,Reference-Modification,1.0
25,Yang2016-08,Template-Insertion,Daxenberger2012-09,Template-Insertion,1.0
26,Yang2016-08,Template-Deletion,Daxenberger2012-09,Template-Deletion,1.0
27,Yang2016-08,Template-Modification,Daxenberger2012-09,Template-Modification,1.0
28,Yang2016-08,Grammar,Pfeil2006-12,Grammar,1.0
29,Yang2016-08,Rephrase,Guo2022-16,Paraphrase,1.0
30,Anthonio2020-03,Information Deletion,Daxenberger2013-17,Information-Deletion,0.9666666666666666
31,Yang2017-01,Process,Guo2022-16,Citation,0.9578947368421054
32,Du2022-07,Coherence,Rathjens1985-15,Consistency,0.9466666666666668
33,Yang2017-01,Copy Editing,Pfeil2006-12,Delete Information,0.9333333333333333
34,Anthonio2020-03,Information Modification/Insertion,Daxenberger2013-17,Information-Modification,0.9204826546003018
35,Spangher2022-05,Deletion,Liu2014-14,Reference deletion,0.9111111111111112
36,Du2022-07,Style,Jones2008-13,Style or readability,0.9111111111111112
37,Rajagopal2022-02,Add New Information,Pfeil2006-12,Add Information,0.9040000000000001
38,Yang2017-01,Simplification,Daxenberger2013-17,Relocation,0.9000000000000001
39,Yang2017-01,Counter Vandalism,Jones2008-13,Vandalism,0.8956521739130434
40,Falting2021-04,Simplification,Liu2014-14,Reference modification,0.8800000000000001
41,Yang2017-01,Point of View,Failgey1981-10,Punctuation,0.8797385620915033
42,Yang2017-01,Fact Update,Pfeil2006-12,Clarify Information,0.8757575757575757
43,Falting2021-04,Point of View,Liu2014-14,Link insertion,0.8628571428571428
44,Rajagopal2022-02,Add Supporting Evidence,Pfeil2006-12,Add Link,0.8613333333333333
45,Falting2021-04,Elaboration,Pfeil2006-12,Fix Link,0.8571428571428572
46,Yang2016-08,External Link-Deletion,Liu2014-14,Link deletion,0.8560000000000001
47,Yang2016-08,External Link-Modification,Liu2014-14,Link modification,0.8560000000000001
48,Rajagopal2022-02,Fact Update,Failgey1981-10,Format,0.8495726495726497
49,Falting2021-04,Fact Update,Pfeil2006-12,Format,0.8495726495726497
50,Yang2017-01,Clarification,Pfeil2006-12,Reversion,0.8400000000000001
51,Falting2021-04,Process,Rathjens1985-15,Order,0.8400000000000001
52,Falting2021-04,Clarification,Guo2022-16,Neutralization,0.8400000000000001
53,Spangher2022-05,Edit,Pfeil2006-12,Delete Link,0.8400000000000001
54,Zhang2015-06,Conventions/Grammar/Spelling,Daxenberger2013-17,Spelling/Grammar,0.8177777777777779
55,Spangher2022-05,Addition,Failgey1981-10,Abbreviation,0.8095238095238095
56,Du2022-07,Fluency,Rathjens1985-15,Brevity,0.781818181818182
57,Yang2016-08,Wikilink-Insertion,Liu2014-14,Reference insertion,0.7722222222222224
58,Rajagopal2022-02,Point-of-view Change,Liu2014-14,Sentence modification,0.7638009049773757
